month,date,nav,daily_ret,idx_ret,in_market,regime,position_cap,invested_pct
2025-11 Nov,2025-11-07,5031.838365877348,0.10008233716480852,-0.31126668645331534,False,neutral,0,57.27207744628882
2025-11 Nov,2025-11-10,5048.419064218852,0.329515718428941,0.3474613329845333,True,neutral,60,60.01878927752673
2025-11 Nov,2025-11-11,5069.076037638181,0.40917707418026694,-0.9134086083410042,True,neutral,50,60.181716564676194
2025-11 Nov,2025-11-12,5071.758026753839,0.05290883576698491,-0.1345179858156409,True,neutral,50,60.202772814247716
2025-11 Nov,2025-11-13,5102.850565144456,0.6130524805521453,1.2089348303926606,True,neutral,50,60.44526410383501
2025-11 Nov,2025-11-14,5113.566560552688,0.21000018071133386,-1.5723699797153157,True,neutral,50,60.52815504956103
2025-11 Nov,2025-11-17,5112.804991097099,-0.01489311709490515,-0.6500883724347206,True,neutral,60,60.025758959006524
2025-11 Nov,2025-11-18,5065.219315929549,-0.9307156296868513,-0.6494053026356972,False,neutral,0,59.650217224167164
2025-11 Nov,2025-11-19,5036.545984970383,-0.5660827137137336,0.4399770324940322,False,neutral,0,59.4205037103594
2025-11 Nov,2025-11-20,5024.952447335685,-0.23018826134605375,-0.5087731992645672,False,neutral,0,59.3268789602027
2025-11 Nov,2025-11-21,4930.368937357239,-1.8822767174363264,-2.439020115891799,False,neutral,0,58.54661147949278
2025-11 Nov,2025-11-24,4961.189710226489,0.6251210256442041,-0.12484259952829646,False,correction,0,0.0
2025-11 Nov,2025-11-25,4961.189710226489,0.0,0.9522604072617957,False,correction,0,0.0
2025-11 Nov,2025-11-26,4961.189710226489,0.0,0.6062036720518638,False,correction,0,0.0
2025-11 Nov,2025-11-27,4961.189710226489,0.0,-0.04920726062759284,False,correction,0,0.0
2025-11 Nov,2025-11-28,4961.189710226489,0.0,0.24934651458574653,False,correction,0,0.0
2025-12 Dec,2025-12-01,5000.0,0.0,1.100678601583227,False,neutral,0,0.0
2025-12 Dec,2025-12-02,5000.0,0.0,-0.484017650223334,False,correction,0,0.0
2025-12 Dec,2025-12-03,5000.0,0.0,-0.5112930866965182,False,correction,0,0.0
2025-12 Dec,2025-12-04,5000.0,0.0,0.34245932895451414,False,correction,0,0.0
2025-12 Dec,2025-12-05,5000.0,0.0,0.8351577872178773,False,correction,0,0.0
2025-12 Dec,2025-12-08,5000.0,0.0,0.8118158932952202,False,correction,0,0.0
2025-12 Dec,2025-12-09,5000.0,0.0,-0.5091572357253882,False,correction,0,0.0
2025-12 Dec,2025-12-10,5000.0,0.0,-0.13909721211867732,False,recovery,0,0.0
2025-12 Dec,2025-12-11,5000.0,0.0,-0.863316496897637,False,recovery,0,0.0
2025-12 Dec,2025-12-12,5000.0,0.0,0.6318943540299715,False,recovery,0,0.0
2025-12 Dec,2025-12-15,5000.0,0.0,-0.630655213438247,False,recovery,0,0.0
